adult,title,genres,id,original_language,popularity,production_companies,vote_average,vote_count,
1,Minions,Family,211672,en,547.488298,Pictures,6.4,4729,1
0,Wonder Woman,Action,297762,en,294.337037,Dune Entertainment,7.2,5025,2
0,Beauty and the Beast,Family,321612,en,287.253654,Walt Disney Pictures,6.8,5530,0
0,Baby Driver,Action,339403,en,228.032744,Big Talk Productions,7.2,2083,3
1,Big Hero 6,Adventure,177572,en,213.849907,Walt Disney Pictures,7.8,6289,3
0,Deadpool,Action,293660,en,187.860492,Twentieth Century Fox Film Corporation,7.4,11444,1
1,Guardians of the Galaxy Vol.2,Action,283995,en,185.330992, Walt Disney Pictures,7.6,4858,2
0,Avatar,Action,19995,en,185.070892,Ingenious Film Partners,7.2,12114,0
1,John Wick,Action,245891,en,183.870374,Summit Entertainment,7,5499,3
1,Gone Girl,Mystery,210577,en,154.801009,Twentieth Century Fox Film Corporation,7.9,6023,2
0,The Hunger Games: Mockingjay - Part 1,Science Fiction,131631,en,147.098006,Lionsgate,6.6,5767,1
0,War for the Planet of the Apes,Drama,281338,en,146.161786, Chernin Entertainment,6.7,1675,3
0,Captain America: Civil War,Adventure,271110,en,145.882135, Studio Babelsberg,7.1,7462,1
0,Pulp Fiction,Thriller,680,en,140.950236,Miramax Films,8.3,8670,2
0,Pirates of the Caribbean: Dead Men Tell No Tales, Adventure,166426,en,133.82782,Walt Disney Pictures,6.6,2814,3
0,The Dark Knight,Drama,155,en,123.167259,DC Comics,8.3,12269,1
0,Blade Runner,Science Fiction,78,en,96.272374,Shaw Brothers,7.9,3833,0
0,The Avengers,Science Fiction,24428,en,89.887648,Paramount Pictures,7.4,12000,0
0,Captain Underpants: The First Epic Movie,Action,268531,en,88.561239,DreamWorks Animation',6.5,159,3
0,The Circle,Drama,339988,en,88.439243,Likely Story,5.4,1015,4
0,The Bad Batch,Thriller,316154,en,78.8072,Annapurna Pictures,5.3,160,1
0,The Maze Runner,Action,198663,en,76.93789,Ingenious Media,7,5540,1
0,Dawn of the Planet of the Apes,Science Fiction,119450,en,75.385211,Ingenious Media,7.3,4511,2
1,Alien: Covenant,Horror,126889,en,72.884078,Twentieth Century Fox Film Corporation,5.7,2677,3
1,Ghost in the Shell,Action,315837,en,68.726676,Paramount Picture,5.9,2547,3
0,Boyka: Undisputed IV,Thriller,348893,en,67.955052,Nu Boyana Viburno,5.8,333,2
0,Whiplash,Drama,244786,en,64.29999,Bold Films,8.3,4376,1
0,Fight Club,Drama,550,en,63.869599,Twentieth Century Fox Film Corporation,8.3,9678,1
0,What Happened to Monday,Science Fiction,406990,en,60.581223, Vendome Pictures,7.3,598,1
0,Wish Upon,Fantasy,440597,en,59.578823,Broad Green Pictures,5.3,127,
0,Thor: Ragnarok,Action,284053,en,57.283628,Walt Disney Pictures,6.7,456,
0,Logan,Action,263115,en,54.581997,Twentieth Century Fox Film Corporation,7.6,6310,
1,Guardians of the Galaxy,Action,118340,en,53.291601,Marvel Studios,7.9,10014,
0,47 Meters Down,Drama,403119,en,52.854103,Dimension Films,5.1,548,
1,The Shawshank Redemption,Drama,278,en,51.645403,Castle Rock Entertainment,8.5,8358,
1,The Last King,Action,360249,no,50.949523,Newgrange Pictures,5.2,47,
0,The Dark Tower,Action,353491,en,50.903593,Imagine Entertainment,5.7,688,
0,John Wick: Chapter 2,Thriller,324552,en,49.247505,Thunder Road Pictures,6.7,2924,
0,The Fate of the Furious,Action,337339,en,48.573287,Universal Pictures,6.8,3803,
0,Forrest Gump,Comedy,13,en,48.307194,Paramount Pictures,8.2,8147,
